instance_sn,cluster,workload_type
instance_7746,-1,Noise
instance_7747,0,Preprocessing
instance_7748,5,Unknown
instance_7750,8,Unknown
instance_7751,-1,Noise
instance_7752,6,Unknown
instance_7753,1,Training
instance_7754,8,Unknown
instance_7755,8,Unknown
instance_7756,-1,Noise
instance_7757,-1,Noise
instance_7759,8,Unknown
instance_7760,12,Unknown
instance_7761,1,Training
instance_7762,8,Unknown
instance_7763,-1,Noise
instance_7769,5,Unknown
instance_7770,5,Unknown
instance_7771,8,Unknown
instance_7772,8,Unknown
instance_7773,18,Unknown
instance_7776,1,Training
instance_7777,17,Unknown
instance_7778,8,Unknown
instance_7779,8,Unknown
instance_7780,17,Unknown
instance_7781,18,Unknown
instance_7783,8,Unknown
instance_7784,3,Inference
instance_7785,5,Unknown
instance_7786,5,Unknown
instance_7788,-1,Noise
instance_7789,9,Unknown
instance_7790,5,Unknown
instance_7791,6,Unknown
instance_7792,1,Training
instance_7793,9,Unknown
instance_7794,9,Unknown
instance_7795,1,Training
instance_7796,7,Unknown
instance_7797,7,Unknown
instance_7798,8,Unknown
instance_7799,-1,Noise
instance_7800,9,Unknown
instance_7801,8,Unknown
instance_7802,8,Unknown
instance_7803,8,Unknown
instance_7804,8,Unknown
instance_7805,8,Unknown
instance_7806,17,Unknown
instance_7807,9,Unknown
instance_7808,8,Unknown
instance_7809,8,Unknown
instance_7810,5,Unknown
instance_7811,9,Unknown
instance_7812,18,Unknown
instance_7813,-1,Noise
instance_7814,5,Unknown
instance_7815,7,Unknown
instance_7817,7,Unknown
instance_7818,6,Unknown
instance_7819,6,Unknown
instance_7820,9,Unknown
instance_7821,11,Unknown
instance_7822,17,Unknown
instance_7823,1,Training
instance_7824,1,Training
instance_7825,1,Training
instance_7827,8,Unknown
instance_7828,8,Unknown
instance_7829,8,Unknown
instance_7830,8,Unknown
instance_7831,9,Unknown
instance_7832,8,Unknown
instance_7834,9,Unknown
instance_7835,6,Unknown
instance_7836,8,Unknown
instance_7837,8,Unknown
instance_7838,-1,Noise
instance_7839,17,Unknown
instance_7840,4,Deployment
instance_7841,8,Unknown
instance_7842,4,Deployment
instance_7843,8,Unknown
instance_7844,8,Unknown
instance_7845,8,Unknown
instance_7846,8,Unknown
instance_7847,8,Unknown
instance_7848,8,Unknown
instance_7849,8,Unknown
instance_7850,8,Unknown
instance_7852,15,Unknown
instance_7853,6,Unknown
instance_7854,-1,Noise
instance_7855,8,Unknown
instance_7856,9,Unknown
instance_7857,7,Unknown
instance_7859,4,Deployment
instance_7860,8,Unknown
instance_7861,8,Unknown
instance_7862,8,Unknown
instance_7863,8,Unknown
instance_7864,8,Unknown
instance_7865,8,Unknown
instance_7866,8,Unknown
instance_7867,8,Unknown
instance_7868,8,Unknown
instance_7871,8,Unknown
instance_7872,6,Unknown
instance_7873,0,Preprocessing
instance_7874,1,Training
instance_7875,8,Unknown
instance_7876,8,Unknown
instance_7877,8,Unknown
instance_7878,8,Unknown
instance_7879,8,Unknown
instance_7880,9,Unknown
instance_7881,8,Unknown
instance_7882,9,Unknown
instance_7883,26,Unknown
instance_7884,-1,Noise
instance_7885,6,Unknown
instance_7886,6,Unknown
instance_7887,4,Deployment
instance_7889,-1,Noise
instance_7890,8,Unknown
instance_7891,4,Deployment
instance_7893,0,Preprocessing
instance_7894,1,Training
instance_7895,8,Unknown
instance_7896,8,Unknown
instance_7897,8,Unknown
instance_7898,8,Unknown
instance_7899,8,Unknown
instance_7900,8,Unknown
instance_7901,8,Unknown
instance_7902,8,Unknown
instance_7903,8,Unknown
instance_7904,8,Unknown
instance_7905,8,Unknown
instance_7907,8,Unknown
instance_7908,8,Unknown
instance_7909,0,Preprocessing
instance_7910,1,Training
instance_7911,6,Unknown
instance_7912,6,Unknown
instance_7913,8,Unknown
instance_7914,8,Unknown
instance_7915,8,Unknown
instance_7916,8,Unknown
instance_7917,8,Unknown
instance_7918,8,Unknown
instance_7921,8,Unknown
instance_7922,8,Unknown
instance_7923,8,Unknown
instance_7924,8,Unknown
instance_7925,21,Unknown
instance_7928,8,Unknown
instance_7930,8,Unknown
instance_7932,8,Unknown
instance_7933,8,Unknown
instance_7934,4,Deployment
instance_7935,8,Unknown
instance_7936,15,Unknown
instance_7937,8,Unknown
instance_7938,4,Deployment
instance_7939,8,Unknown
instance_7940,13,Unknown
instance_7941,13,Unknown
instance_7942,13,Unknown
instance_7943,13,Unknown
instance_7944,13,Unknown
instance_7945,6,Unknown
instance_7946,5,Unknown
instance_7947,5,Unknown
instance_7948,11,Unknown
instance_7949,9,Unknown
instance_7950,9,Unknown
instance_7951,13,Unknown
instance_7953,13,Unknown
instance_7954,13,Unknown
instance_7955,-1,Noise
instance_7956,13,Unknown
instance_7957,-1,Noise
instance_7958,13,Unknown
instance_7959,-1,Noise
instance_7960,8,Unknown
instance_7961,21,Unknown
instance_7962,8,Unknown
instance_7963,5,Unknown
instance_7965,7,Unknown
instance_7966,6,Unknown
instance_7968,1,Training
instance_7969,8,Unknown
instance_7970,8,Unknown
instance_7971,8,Unknown
instance_7972,8,Unknown
instance_7973,8,Unknown
instance_7974,8,Unknown
instance_7975,8,Unknown
instance_7977,8,Unknown
instance_7979,8,Unknown
instance_7980,8,Unknown
instance_7981,8,Unknown
instance_7982,8,Unknown
instance_7983,4,Deployment
instance_7985,12,Unknown
instance_7986,1,Training
instance_7987,8,Unknown
instance_7988,8,Unknown
instance_7992,10,Unknown
instance_7996,7,Unknown
instance_7997,1,Training
instance_7998,16,Unknown
instance_7999,1,Training
instance_8001,-1,Noise
instance_8003,4,Deployment
instance_8004,11,Unknown
instance_8005,-1,Noise
instance_8006,12,Unknown
instance_8007,1,Training
instance_8008,8,Unknown
instance_8009,4,Deployment
instance_8010,8,Unknown
instance_8011,8,Unknown
instance_8012,7,Unknown
instance_8013,0,Preprocessing
instance_8016,8,Unknown
instance_8017,9,Unknown
instance_8019,1,Training
instance_8020,1,Training
instance_8021,12,Unknown
instance_8023,-1,Noise
instance_8024,21,Unknown
instance_8025,8,Unknown
instance_8026,4,Deployment
instance_8028,8,Unknown
instance_8029,8,Unknown
instance_8030,0,Preprocessing
instance_8031,-1,Noise
instance_8032,8,Unknown
instance_8033,8,Unknown
instance_8034,8,Unknown
instance_8035,6,Unknown
instance_8036,6,Unknown
instance_8037,8,Unknown
instance_8038,8,Unknown
instance_8039,8,Unknown
instance_8041,6,Unknown
instance_8042,13,Unknown
instance_8043,5,Unknown
instance_8044,5,Unknown
instance_8045,18,Unknown
instance_8046,0,Preprocessing
instance_8047,6,Unknown
instance_8048,6,Unknown
instance_8049,8,Unknown
instance_8050,8,Unknown
instance_8052,8,Unknown
instance_8053,9,Unknown
instance_8054,-1,Noise
instance_8055,8,Unknown
instance_8056,8,Unknown
instance_8057,6,Unknown
instance_8058,4,Deployment
instance_8059,8,Unknown
instance_8060,8,Unknown
instance_8061,6,Unknown
instance_8062,8,Unknown
instance_8063,8,Unknown
instance_8064,8,Unknown
instance_8065,7,Unknown
instance_8066,7,Unknown
instance_8067,21,Unknown
instance_8068,8,Unknown
instance_8069,8,Unknown
instance_8070,8,Unknown
instance_8071,8,Unknown
instance_8072,8,Unknown
instance_8073,8,Unknown
instance_8074,4,Deployment
instance_8075,4,Deployment
instance_8076,4,Deployment
instance_8077,-1,Noise
instance_8078,6,Unknown
instance_8079,6,Unknown
instance_8080,8,Unknown
instance_8081,0,Preprocessing
instance_8082,8,Unknown
instance_8083,8,Unknown
instance_8084,4,Deployment
instance_8085,4,Deployment
instance_8086,0,Preprocessing
instance_8087,7,Unknown
instance_8088,0,Preprocessing
instance_8089,8,Unknown
instance_8090,6,Unknown
instance_8091,6,Unknown
instance_8092,8,Unknown
instance_8093,8,Unknown
instance_8094,8,Unknown
instance_8095,6,Unknown
instance_8096,7,Unknown
instance_8098,6,Unknown
instance_8099,-1,Noise
instance_8105,22,Unknown
instance_8109,23,Unknown
instance_8110,24,Unknown
instance_8111,7,Unknown
instance_8112,23,Unknown
instance_8113,7,Unknown
instance_8114,24,Unknown
instance_8115,7,Unknown
instance_8116,7,Unknown
instance_8117,-1,Noise
instance_8121,18,Unknown
instance_8122,8,Unknown
instance_8123,0,Preprocessing
instance_8124,-1,Noise
instance_8125,0,Preprocessing
instance_8126,9,Unknown
instance_8127,1,Training
instance_8128,4,Deployment
instance_8129,1,Training
instance_8130,1,Training
instance_8133,7,Unknown
instance_8134,7,Unknown
instance_8135,24,Unknown
instance_8136,7,Unknown
instance_8137,5,Unknown
instance_8138,6,Unknown
instance_8139,6,Unknown
instance_8140,8,Unknown
instance_8141,8,Unknown
instance_8142,8,Unknown
instance_8143,5,Unknown
instance_8144,-1,Noise
instance_8145,18,Unknown
instance_8146,9,Unknown
instance_8147,7,Unknown
instance_8148,23,Unknown
instance_8149,7,Unknown
instance_8150,7,Unknown
instance_8151,7,Unknown
instance_8152,7,Unknown
instance_8153,16,Unknown
instance_8154,8,Unknown
instance_8155,8,Unknown
instance_8157,8,Unknown
instance_8158,-1,Noise
instance_8159,-1,Noise
instance_8160,0,Preprocessing
instance_8162,1,Training
instance_8163,1,Training
instance_8164,1,Training
instance_8165,1,Training
instance_8167,6,Unknown
instance_8168,6,Unknown
instance_8169,6,Unknown
instance_8170,7,Unknown
instance_8172,24,Unknown
instance_8173,24,Unknown
instance_8174,23,Unknown
instance_8175,7,Unknown
instance_8176,7,Unknown
instance_8177,-1,Noise
instance_8178,8,Unknown
instance_8179,8,Unknown
instance_8180,0,Preprocessing
instance_8181,9,Unknown
instance_8182,-1,Noise
instance_8184,8,Unknown
instance_8185,18,Unknown
instance_8186,8,Unknown
instance_8188,5,Unknown
instance_8189,5,Unknown
instance_8190,23,Unknown
instance_8191,3,Inference
instance_8193,0,Preprocessing
instance_8194,1,Training
instance_8195,5,Unknown
instance_8198,10,Unknown
instance_8199,4,Deployment
instance_8206,24,Unknown
instance_8207,24,Unknown
instance_8208,24,Unknown
instance_8209,24,Unknown
instance_8210,7,Unknown
instance_8211,6,Unknown
instance_8212,9,Unknown
instance_8213,-1,Noise
instance_8214,5,Unknown
instance_8215,1,Training
instance_8216,3,Inference
instance_8217,-1,Noise
instance_8218,-1,Noise
instance_8219,0,Preprocessing
instance_8222,16,Unknown
instance_8223,3,Inference
instance_8224,0,Preprocessing
instance_8225,1,Training
instance_8226,13,Unknown
instance_8227,-1,Noise
instance_8228,0,Preprocessing
instance_8229,9,Unknown
instance_8230,5,Unknown
instance_8231,5,Unknown
instance_8232,8,Unknown
instance_8234,24,Unknown
instance_8235,7,Unknown
instance_8236,24,Unknown
instance_8237,25,Unknown
instance_8238,22,Unknown
instance_8239,23,Unknown
instance_8241,7,Unknown
instance_8242,7,Unknown
instance_8243,7,Unknown
instance_8246,7,Unknown
instance_8247,16,Unknown
instance_8248,1,Training
instance_8250,24,Unknown
instance_8251,24,Unknown
instance_8252,7,Unknown
instance_8253,24,Unknown
instance_8254,7,Unknown
instance_8255,22,Unknown
instance_8257,8,Unknown
instance_8258,1,Training
instance_8259,8,Unknown
instance_8260,8,Unknown
instance_8261,0,Preprocessing
instance_8262,8,Unknown
instance_8263,8,Unknown
instance_8264,9,Unknown
instance_8265,8,Unknown
instance_8266,-1,Noise
instance_8267,13,Unknown
instance_8269,1,Training
instance_8270,0,Preprocessing
instance_8271,18,Unknown
instance_8272,5,Unknown
instance_8273,7,Unknown
instance_8274,26,Unknown
instance_8275,-1,Noise
instance_8276,-1,Noise
instance_8278,24,Unknown
instance_8279,7,Unknown
instance_8280,6,Unknown
instance_8281,4,Deployment
instance_8282,6,Unknown
instance_8283,6,Unknown
instance_8284,24,Unknown
instance_8288,7,Unknown
instance_8289,6,Unknown
instance_8290,6,Unknown
instance_8291,6,Unknown
instance_8294,23,Unknown
instance_8295,24,Unknown
instance_8297,24,Unknown
instance_8299,-1,Noise
instance_8300,6,Unknown
instance_8302,-1,Noise
instance_8304,8,Unknown
instance_8305,3,Inference
instance_8308,7,Unknown
instance_8310,10,Unknown
instance_8311,17,Unknown
instance_8312,0,Preprocessing
instance_8313,12,Unknown
instance_8314,16,Unknown
instance_8317,12,Unknown
instance_8319,7,Unknown
instance_8320,13,Unknown
instance_8321,-1,Noise
instance_8322,8,Unknown
instance_8323,5,Unknown
instance_8324,7,Unknown
instance_8327,8,Unknown
instance_8328,5,Unknown
instance_8329,4,Deployment
instance_8331,1,Training
instance_8332,-1,Noise
instance_8333,1,Training
instance_8334,7,Unknown
instance_8335,7,Unknown
instance_8336,4,Deployment
instance_8337,8,Unknown
instance_8338,3,Inference
instance_8339,8,Unknown
instance_8342,9,Unknown
instance_8344,7,Unknown
instance_8348,8,Unknown
instance_8349,8,Unknown
instance_8350,8,Unknown
instance_8351,0,Preprocessing
instance_8352,8,Unknown
instance_8353,-1,Noise
instance_8354,1,Training
instance_8355,1,Training
instance_8357,8,Unknown
instance_8358,8,Unknown
instance_8359,8,Unknown
instance_8360,8,Unknown
instance_8361,8,Unknown
instance_8362,8,Unknown
instance_8363,8,Unknown
instance_8364,8,Unknown
instance_8365,8,Unknown
instance_8366,-1,Noise
instance_8368,8,Unknown
instance_8369,9,Unknown
instance_8370,37,Unknown
instance_8371,3,Inference
instance_8373,8,Unknown
instance_8374,1,Training
instance_8375,1,Training
instance_8376,8,Unknown
instance_8377,8,Unknown
instance_8378,8,Unknown
instance_8379,18,Unknown
instance_8380,5,Unknown
instance_8382,-1,Noise
instance_8383,4,Deployment
instance_8384,8,Unknown
instance_8386,1,Training
instance_8388,8,Unknown
instance_8389,0,Preprocessing
instance_8392,8,Unknown
instance_8393,3,Inference
instance_8394,8,Unknown
instance_8395,8,Unknown
instance_8396,8,Unknown
instance_8397,8,Unknown
instance_8398,8,Unknown
instance_8399,8,Unknown
instance_8400,8,Unknown
instance_8401,8,Unknown
instance_8402,18,Unknown
instance_8403,0,Preprocessing
instance_8404,12,Unknown
instance_8409,24,Unknown
instance_8410,-1,Noise
instance_8411,-1,Noise
instance_8412,-1,Noise
instance_8413,-1,Noise
instance_8414,-1,Noise
instance_8415,-1,Noise
instance_8423,33,Unknown
instance_8424,-1,Noise
instance_8426,5,Unknown
instance_8427,8,Unknown
instance_8428,5,Unknown
instance_8430,15,Unknown
instance_8436,7,Unknown
instance_8437,8,Unknown
instance_8438,8,Unknown
instance_8439,-1,Noise
instance_8440,8,Unknown
instance_8441,17,Unknown
instance_8442,2,Tuning
instance_8443,1,Training
instance_8445,-1,Noise
instance_8446,1,Training
instance_8447,7,Unknown
instance_8448,1,Training
instance_8449,9,Unknown
instance_8450,-1,Noise
instance_8451,1,Training
instance_8453,9,Unknown
instance_8456,0,Preprocessing
instance_8457,5,Unknown
instance_8458,0,Preprocessing
instance_8459,0,Preprocessing
instance_8464,5,Unknown
instance_8465,5,Unknown
instance_8466,5,Unknown
instance_8468,9,Unknown
instance_8469,18,Unknown
instance_8472,5,Unknown
instance_8473,11,Unknown
instance_8474,0,Preprocessing
instance_8476,9,Unknown
instance_8478,11,Unknown
instance_8479,8,Unknown
instance_8480,-1,Noise
instance_8481,-1,Noise
instance_8482,0,Preprocessing
instance_8483,0,Preprocessing
instance_8484,9,Unknown
instance_8485,5,Unknown
instance_8486,8,Unknown
instance_8487,-1,Noise
instance_8489,20,Unknown
instance_8490,-1,Noise
instance_8491,1,Training
instance_8492,10,Unknown
instance_8493,0,Preprocessing
instance_8494,10,Unknown
instance_8495,10,Unknown
