instance_sn,predicted_workload_type
instance_8225,Training
instance_8226,Unknown
instance_8227,Noise
instance_8228,Preprocessing
instance_8229,Unknown
instance_8230,Unknown
instance_8231,Unknown
instance_8232,Unknown
instance_8234,Unknown
instance_8235,Unknown
instance_8236,Unknown
instance_8237,Unknown
instance_8238,Unknown
instance_8239,Unknown
instance_8241,Unknown
instance_8242,Unknown
instance_8243,Unknown
instance_8246,Unknown
instance_8247,Unknown
instance_8248,Training
instance_8250,Unknown
instance_8251,Unknown
instance_8252,Unknown
instance_8253,Unknown
instance_8254,Unknown
instance_8255,Unknown
instance_8257,Unknown
instance_8258,Training
instance_8259,Unknown
instance_8260,Unknown
instance_8261,Preprocessing
instance_8262,Unknown
instance_8263,Unknown
instance_8264,Unknown
instance_8265,Unknown
instance_8266,Noise
instance_8267,Unknown
instance_8269,Training
instance_8270,Preprocessing
instance_8271,Unknown
instance_8272,Unknown
instance_8273,Unknown
instance_8274,Unknown
instance_8275,Noise
instance_8276,Noise
instance_8278,Unknown
instance_8279,Unknown
instance_8280,Unknown
instance_8281,Deployment
instance_8282,Unknown
instance_8283,Unknown
instance_8284,Unknown
instance_8288,Unknown
instance_8289,Unknown
instance_8290,Unknown
instance_8291,Unknown
instance_8294,Unknown
instance_8295,Unknown
instance_8297,Unknown
instance_8299,Noise
instance_8300,Unknown
instance_8302,Noise
instance_8304,Unknown
instance_8305,Inference
instance_8308,Unknown
instance_8310,Unknown
instance_8311,Unknown
instance_8312,Preprocessing
instance_8313,Unknown
instance_8314,Unknown
instance_8317,Unknown
instance_8319,Unknown
instance_8320,Unknown
instance_8321,Noise
instance_8322,Unknown
instance_8323,Unknown
instance_8324,Unknown
instance_8327,Unknown
instance_8328,Unknown
instance_8329,Deployment
instance_8331,Training
instance_8332,Noise
instance_8333,Training
instance_8334,Unknown
instance_8335,Unknown
instance_8336,Deployment
instance_8337,Unknown
instance_8338,Inference
instance_8339,Unknown
instance_8342,Unknown
instance_8344,Unknown
instance_8348,Unknown
instance_8349,Unknown
instance_8350,Unknown
instance_8351,Preprocessing
instance_8352,Unknown
instance_8353,Noise
instance_8354,Training
instance_8355,Training
instance_8357,Unknown
instance_8358,Unknown
instance_8359,Unknown
instance_8360,Unknown
instance_8361,Unknown
instance_8362,Unknown
instance_8363,Unknown
instance_8364,Unknown
instance_8365,Unknown
instance_8366,Noise
instance_8368,Unknown
instance_8369,Unknown
instance_8370,Unknown
instance_8371,Inference
instance_8373,Unknown
instance_8374,Training
instance_8375,Training
instance_8376,Unknown
instance_8377,Unknown
instance_8378,Unknown
instance_8379,Unknown
instance_8380,Unknown
instance_8382,Noise
instance_8383,Deployment
instance_8384,Unknown
instance_8386,Training
instance_8388,Unknown
instance_8389,Preprocessing
instance_8392,Unknown
instance_8393,Inference
instance_8394,Unknown
instance_8395,Unknown
instance_8396,Unknown
instance_8397,Unknown
instance_8398,Unknown
instance_8399,Unknown
instance_8400,Unknown
instance_8401,Unknown
instance_8402,Unknown
instance_8403,Preprocessing
instance_8404,Unknown
instance_8409,Unknown
instance_8410,Noise
instance_8411,Noise
instance_8412,Noise
instance_8413,Noise
instance_8414,Noise
instance_8415,Noise
instance_8423,Unknown
instance_8424,Noise
instance_8426,Unknown
instance_8427,Unknown
instance_8428,Unknown
instance_8430,Unknown
instance_8436,Unknown
instance_8437,Unknown
instance_8438,Unknown
instance_8439,Noise
instance_8440,Unknown
instance_8441,Unknown
instance_8442,Tuning
instance_8443,Training
instance_8445,Noise
instance_8446,Training
instance_8447,Unknown
instance_8448,Training
instance_8449,Unknown
instance_8450,Noise
instance_8451,Training
instance_8453,Unknown
instance_8456,Preprocessing
instance_8457,Unknown
instance_8458,Preprocessing
instance_8459,Preprocessing
instance_8464,Unknown
instance_8465,Unknown
instance_8466,Unknown
instance_8468,Unknown
instance_8469,Unknown
instance_8472,Unknown
instance_8473,Unknown
instance_8474,Preprocessing
instance_8476,Unknown
instance_8478,Unknown
instance_8479,Unknown
instance_8480,Noise
instance_8481,Noise
instance_8482,Preprocessing
instance_8483,Preprocessing
instance_8484,Unknown
instance_8485,Unknown
instance_8486,Unknown
instance_8487,Noise
instance_8489,Unknown
instance_8490,Noise
instance_8491,Training
instance_8492,Unknown
